codigo_pdv;nome_pdv;razao_social;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
26990;S26990 - COLOMBO - AVENIDA BRASIL - 3252 - MARINGA - PR;;AVENIDA BRASIL, 3252;;MARINGA;PR;87013000;-2.342.089;-5.193.375;2026-02-09 21:05:02.576155+00;COLOMBO
79687;S79687 - COLOMBO - AVENIDA NESTOR FREDERICO HENN - 2220 - VERA CRUZ - RS;;AVENIDA NESTOR FREDERICO HENN, 2220;;VERA CRUZ;RS;96880000;-2.971.535;-5.250.742;2026-02-09 21:05:02.063994+00;COLOMBO
74618;S74618 - COLOMBO - ALAMEDA ARISTILIANO RAMOS - 264 - RIO DO SUL - SC;;ALAMEDA ARISTILIANO RAMOS, 264;CENTRO;RIO DO SUL;SC;89160141;-2.721.546;-4.964.274;2026-02-09 21:05:01.741346+00;COLOMBO
40209;S40209 - COLOMBO - RUA FARIA SOBRINHO - 433 - PARANAGUA - PR;;RUA FARIA SOBRINHO, 433;CENTRO HISTORICO;PARANAGUA;PR;83203000;-2.551.805;-4.850.528;2026-02-09 21:05:02.576155+00;COLOMBO
3081;S03081 - CLIMA RIO - RODOVIA BR-116 - 825 - FORTALEZA - CE;;Rodovia Br-116, 825;CIDADE DOS FUNCIONARIOS;FORTALEZA;CE;60842395;-37.926.197;-385.083.444;2026-02-09 21:05:01.598207+00;CLIMA RIO
154;S00154 - UNIAR - ESTRADA MUNICIPAL JOSE GERALDO APARECIDO/FISGAO - 2539 - EXTREMA - MG;;Estrada Municipal Jose Geraldo Aparecido/fisgao, 2539;DOS PIRES;EXTREMA;MG;37640000;-228.690.479;-463.420.272;2026-02-09 21:05:02.780508+00;POLOAR
3478;S03478 - ANGELONI - AVENIDA 4 QUARTA AVENIDA - 880 - BALNEARIO CAMBORIU - SC;;AVENIDA 4;;BALNEARIO CAMBORIU;SC;88330110;-2.699.577;-4.864.013;2026-02-09 21:05:02.063994+00;ANGELONI
79768;S79768 - COLOMBO - RUA 28 DE AGOSTO - 1437 - GUARAMIRIM - SC;;RUA 28 DE AGOSTO, 1437;;GUARAMIRIM;SC;89270000;-2.647.371;-4.900.044;2026-02-09 21:05:02.063994+00;COLOMBO
86543;S86543 - COLOMBO - AVENIDA BRASIL - 695 - MANDIRITUBA - PR;;AVENIDA BRASIL, 695;CENTRO;MANDIRITUBA;PR;83800036;-2.577.536;-4.932.566;2026-02-09 21:05:02.694969+00;COLOMBO
403;S00403 - AMBIENTE - AVENIDA DO COWBOY - 345 - CASCAVEL - PR;;Avenida Do Cowboy, 345;PION CATARINENSES;CASCAVEL;PR;85805450;-2.497.694;-5.348.699;2026-02-09 21:05:02.694969+00;AMBIENTE
197;S00197 - UNIAR - RUA BRIGADEIRO FRANCO - 3.353 - CURITIBA - PR;;Rua Brigadeiro Franco, 3.353;CENTRO;CURITIBA;PR;80250030;-254.489;-4.927.305;2026-02-09 21:05:02.694969+00;STR
1281;S01281 - FRIOPECAS - AVENIDA IMPERADOR - 1092 - FORTALEZA - CE;;Avenida Imperador, 1092;CENTRO;FORTALEZA;CE;60015050;-373.063;-3.853.552;2026-02-09 21:05:01.598207+00;FRIOPECAS
8003;S08003 - ANGELONI - RUA CORONEL TEIXEIRA OLIVEIRA - 128 - BIGUACU - SC;;RUA CORONEL TEIXEIRA OLIVEIRA, 128;PRADO DE BAIXO;BIGUACU;SC;88160001;-2.749.714;-4.865.506;2026-02-09 21:05:01.947218+00;ANGELONI
12345;S12345 - COLOMBO - RUA CORONEL ALFREDO BORN - 679 - SAO LOURENCO DO SUL - RS;;RUA CORONEL ALFREDO BORN, 679;;SAO LOURENCO DO SUL;RS;96170000;-3.136.327;-5.198.151;2026-02-09 21:05:02.063994+00;COLOMBO
1207;S01207 - UNIAR - ALAMEDA DOS NHAMBIQUARAS - 1876 - SAO PAULO - SP;;Alameda dos Nhambiquaras, 1876;MOEMA;SAO PAULO;SP;4515001;-2.361.367;-4.666.562;2026-02-09 21:05:02.239959+00;POLOAR
22570;S22570 - COLOMBO - AVENIDA PREFEITO EVANDRO BEHR - 6725 - SANTA MARIA - RS;;AVENIDA PREFEITO EVANDRO BEHR, 6725;CENTRO;SANTA MARIA;RS;97010970;-297.019.197;-5.372.162.119.999.990;2026-02-09 21:05:01.741346+00;COLOMBO
1734;S01734 - COLOMBO - AVENIDA JULIO DE CASTILHOS - 132 - CANELA - RS;;AVENIDA JULIO DE CASTILHOS, 132;;CANELA;RS;95680000;-2.936.037;-508.128;2026-02-09 21:05:02.063994+00;COLOMBO
78877;S78877 - COLOMBO - AVENIDA LUIZ SILVEIRA - 720 - PALMARES DO SUL - RS;;AVENIDA LUIZ SILVEIRA, 720;;PALMARES DO SUL;RS;95540000;-3.025.811;-5.050.872;2026-02-09 21:05:01.741346+00;COLOMBO
29159;S29159 - COLOMBO - RUA GETULIO VARGAS - 1111 - PARANAVAI - PR;;RUA GETULIO VARGAS, 1111;CENTRO;PARANAVAI;PR;87702000;-2.308.077;-5.246.259;2026-02-09 21:05:02.576155+00;COLOMBO
