código_pdv;nome_pdv;razao_social;status;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
1867;01867 - FRIGELAR - ALAMEDA GLETE - 798 - SAO PAULO - SP;9,27E+13;1;;CAMPOS ELISEOS;SAO PAULO;SP;1215000;-2.353.613;-4.664.845;2026-02-09 21:05:02.239959+00;FRIGELAR
80189;80189 - COLOMBO - AVENIDA GIACOMO CARNIEL - 347 - CIDREIRA - RS;8,98E+13;1;;;CIDREIRA;RS;95595000;-3.017.391;-5.020.428;2026-02-09 21:05:02.063994+00;COLOMBO
1336;01336 - RAMSONS - SHOPPING GRANDE CIRCULAR - MANAUS - AM;3,34E+12;1;;SAO JOSE OPERARIO;MANAUS;AM;69085000;-30.621.468;-599.499.069;2026-02-09 21:05:02.576155+00;RAMSONS
20364;20364 - COLOMBO - RUA CEL PASSOS MAIA - 955 - XANXERE - SC;8,98E+13;1;;;XANXERE;SC;89820000;-268.744;-5.240.833;2026-02-09 21:05:01.741346+00;COLOMBO
120;00120 - UNIAR - AV. SILVA JARDIM - 1178 - CURITIBA - PR;7,52E+12;1;;CURITIBA;CURITIBA;PR;80230000;-254.412.877.171.148;-492.722.459.027.153;2026-02-09 21:05:02.694969+00;POLOAR
69703;69703 - COLOMBO - AVENIDA NILZA DE OLIVEIRA PIPINO - 1723 - UBIRATA - PR;8,98E+13;1;;;UBIRATA;PR;85440000;-2.454.085;-5.299.023;2026-02-09 21:05:02.576155+00;COLOMBO
181;00181 - UNIAR - AVENIDA. HEITOR VILLA LOBOS - 1.550 - SAO JOSE DOS CAMPOS - SP;2,88E+13;1;;VILA EMA;SAO JOSE DOS CAMPOS;SP;12243260;-2.320.413;-4.589.218;2026-02-09 21:05:02.239959+00;STR
65708;65708 - COLOMBO - RUA JOCKEY CLUBE - 155 - RIO GRANDE - RS;8,98E+13;1;;VILA SAO MIGUEL;RIO GRANDE;RS;96212730;-3.204.944;-5.214.908;2026-02-09 21:05:01.947218+00;COLOMBO
86039;86039 - COLOMBO - RUA ASSIS BRASIL - 591 - ARROIO DO SAL - RS;8,98E+13;1;;;ARROIO DO SAL;RS;95585000;-2.954.803;-4.989.063;2026-02-09 21:05:01.598207+00;COLOMBO
2208;02208 - HAVAN - RUA PREFEITO ARI WAGNER - 358 - PALHOCA - SC;7,94E+13;1;;CENTRO;PALHOCA;SC;88130070;-2.764.391;-4.866.709;2026-02-09 21:05:02.063994+00;HAVAN
